start,end,position,line,text,token
11.295,12.062,-1,78,<105></c><1>少</c><205>しずつ近づいているよ　夢に見たトキメキ</c><105></c>,少
11.295,11.695,59,0,<105></c><1>す</c><205>こしずつちかづいているよゆめにみたときめき</c><105></c>,す
11.695,12.062,61,0,<105></c><1>す</c><15>こ</c><205>しずつちかづいているよゆめにみたときめき</c><105></c>,こ
12.062,12.596,-1,78,<105></c><1>少</c><34>し</c><205>ずつ近づいているよ　夢に見たトキメキ</c><105></c>,し
12.062,12.596,63,0,<105></c><1>す</c><15>こ</c><34>し</c><205>ずつちかづいているよゆめにみたときめき</c><105></c>,し
12.596,12.796,-1,78,<105></c><1>少</c><34>し</c><56>ず</c><205>つ近づいているよ　夢に見たトキメキ</c><105></c>,ず
12.596,12.796,64,0,<105></c><1>す</c><15>こ</c><34>し</c><56>ず</c><205>つちかづいているよゆめにみたときめき</c><105></c>,ず
12.796,14.198,-1,78,<105></c><1>少</c><34>し</c><56>ず</c><123>つ</c><205>近づいているよ　夢に見たトキメキ</c><105></c>,つ
12.796,14.198,66,0,<105></c><1>す</c><15>こ</c><34>し</c><56>ず</c><123>つ</c><205>ちかづいているよゆめにみたときめき</c><105></c>,つ
14.198,14.932,-1,78,<105></c><1>少</c><34>し</c><56>ず</c><123>つ</c><167>近</c><205>づいているよ　夢に見たトキメキ</c><105></c>,近
14.198,14.565,67,0,<105></c><1>す</c><15>こ</c><34>し</c><56>ず</c><123>つ</c><167>ち</c><205>かづいているよゆめにみたときめき</c><105></c>,ち
14.565,14.932,69,0,<105></c><1>す</c><15>こ</c><34>し</c><56>ず</c><123>つ</c><167>ち</c><164>か</c><205>づいているよゆめにみたときめき</c><105></c>,か
14.932,15.432,-1,78,<105></c><1>少</c><34>し</c><56>ず</c><123>つ</c><167>近</c><143>づ</c><205>いているよ　夢に見たトキメキ</c><105></c>,づ
14.932,15.432,70,0,<105></c><1>す</c><15>こ</c><34>し</c><56>ず</c><123>つ</c><167>ち</c><164>か</c><143>づ</c><205>いているよゆめにみたときめき</c><105></c>,づ
