start,end,position,line,text,unformatted
2.019,2.486,-1,-1,<1></c><2>let’s</c><3>seetheworld</c><1></c>,let’sseetheworld
2.486,2.853,-1,-1,<1></c><2>let’ssee</c><3>theworld</c><1></c>,let’sseetheworld
2.853,3.22,-1,-1,<1></c><2>let’sseethe</c><3>world</c><1></c>,let’sseetheworld
3.22,3.787,-1,-1,<1></c><2>let’sseetheworld</c><1></c>,let’sseetheworld
3.787,4.154,77,-1,<1></c><2>search</c><3>ingforthereasonwhyiammyself</c><1></c>,searchingforthereasonwhyiammyself
4.154,4.555,77,-1,<1></c><2>searching</c><3>forthereasonwhyiammyself</c><1></c>,searchingforthereasonwhyiammyself
4.555,5.255,77,-1,<1></c><2>searchingfor</c><3>thereasonwhyiammyself</c><1></c>,searchingforthereasonwhyiammyself
5.255,5.656,77,-1,<1></c><2>searchingforthe</c><3>reasonwhyiammyself</c><1></c>,searchingforthereasonwhyiammyself
5.656,5.823,77,-1,<1></c><2>searchingfortherea</c><3>sonwhyiammyself</c><1></c>,searchingforthereasonwhyiammyself
5.823,6.223,77,-1,<1></c><2>searchingforthereason</c><3>whyiammyself</c><1></c>,searchingforthereasonwhyiammyself
6.223,6.757,77,-1,<1></c><2>searchingforthereasonwhy</c><3>iammyself</c><1></c>,searchingforthereasonwhyiammyself
6.757,7.124,77,-1,<1></c><2>searchingforthereasonwhyi</c><3>ammyself</c><1></c>,searchingforthereasonwhyiammyself
7.124,7.324,77,-1,<1></c><2>searchingforthereasonwhyiam</c><3>myself</c><1></c>,searchingforthereasonwhyiammyself
7.324,7.524,77,-1,<1></c><2>searchingforthereasonwhyiammy</c><3>self</c><1></c>,searchingforthereasonwhyiammyself
7.524,9.259,77,-1,<1></c><2>searchingforthereasonwhyiammyself</c><1></c>,searchingforthereasonwhyiammyself
9.86,10.327,88,-1,<1></c><2>with</c><3>fearandwithjoyi’veneverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
10.327,10.694,88,-1,<1></c><2>withfear</c><3>andwithjoyi’veneverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
10.694,11.228,88,-1,<1></c><2>withfearand</c><3>withjoyi’veneverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
11.228,11.595,88,-1,<1></c><2>withfearandwith</c><3>joyi’veneverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
11.595,11.795,88,-1,<1></c><2>withfearandwithjoy</c><3>i’veneverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
11.795,11.996,88,-1,<1></c><2>withfearandwithjoyi’ve</c><3>neverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
11.996,12.529,88,-1,<1></c><2>withfearandwithjoyi’venev</c><3>erfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
12.529,12.896,88,-1,<1></c><2>withfearandwithjoyi’venever</c><3>feltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
12.896,13.297,88,-1,<1></c><2>withfearandwithjoyi’veneverfelt</c><3>before</c><1></c>,withfearandwithjoyi’veneverfeltbefore
13.297,13.464,88,-1,<1></c><2>withfearandwithjoyi’veneverfeltbe</c><3>fore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
13.464,14.965,88,-1,<1></c><2>withfearandwithjoyi’veneverfeltbefore</c><1></c>,withfearandwithjoyi’veneverfeltbefore
14.965,15.165,59,-1,<1></c><2>i\'ll</c><3>singouttowardsthesky</c><1></c>,i\'llsingouttowardsthesky
15.165,15.432,59,-1,<1></c><2>i\'llsing</c><3>outtowardsthesky</c><1></c>,i\'llsingouttowardsthesky
15.432,15.699,59,-1,<1></c><2>i\'llsingout</c><3>towardsthesky</c><1></c>,i\'llsingouttowardsthesky
15.699,15.899,59,-1,<1></c><2>i\'llsingoutto</c><3>wardsthesky</c><1></c>,i\'llsingouttowardsthesky
15.899,16.166,59,-1,<1></c><2>i\'llsingouttowards</c><3>thesky</c><1></c>,i\'llsingouttowardsthesky
16.166,16.433,59,-1,<1></c><2>i\'llsingouttowardsthe</c><3>sky</c><1></c>,i\'llsingouttowardsthesky
16.433,19.436,59,-1,<1></c><2>i\'llsingouttowardsthesky</c><1></c>,i\'llsingouttowardsthesky
16.467,20.938,-1,7,<1></c><2>irys-seetheworld</c><1></c>,irys-seetheworld
16.467,17.935,-1,85,<1></c><2>作詞：hotaru（tawara）</c><1></c>,作詞：hotaru（tawara）
17.935,19.436,-1,85,<1></c><2>作曲：酒井拓也、河合泰志（arterefact）</c><1></c>,作曲：酒井拓也、河合泰志（arterefact）
19.436,20.938,-1,85,<1></c><2>編曲：酒井拓也、河合泰志（arterefact）</c><1></c>,編曲：酒井拓也、河合泰志（arterefact）
22.006,22.172,-1,-1,<1></c><2>夜</c><3>明けの紫に自分を重ねて</c><1></c>,夜明けの紫に自分を重ねて
22.006,22.172,-1,0,<1></c><2>よ</c><3>あけのむらさきにじぶんをかさねて</c><1></c>,よあけのむらさきにじぶんをかさねて
22.172,22.373,-1,-1,<1></c><2>夜明</c><3>けの紫に自分を重ねて</c><1></c>,夜明けの紫に自分を重ねて
22.172,22.373,-1,0,<1></c><2>よあ</c><3>けのむらさきにじぶんをかさねて</c><1></c>,よあけのむらさきにじぶんをかさねて
22.373,23.14,-1,-1,<1></c><2>夜明け</c><3>の紫に自分を重ねて</c><1></c>,夜明けの紫に自分を重ねて
