start,end,line,unformatted,segments,ref_start,ref_end,token
13.197,13.263,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",True,False,<dupe>
13.13,13.197,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
13.063,13.13,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.997,13.063,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.93,12.997,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.863,12.93,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.796,12.863,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.73,12.796,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.663,12.73,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
12.596,12.663,92,aworldofourfictionawaits...,"[(1, 'a'), (1, 'w'), (1, 'o'), (1, 'r'), (1, 'l'), (1, 'd'), (1, 'o'), (1, 'f'), (1, 'o'), (1, 'u'), (1, 'r'), (1, 'f'), (1, 'i'), (1, 'c'), (1, 't'), (1, 'i'), (1, 'o'), (1, 'n'), (1, 'a'), (1, 'w'), (1, 'a'), (1, 'i'), (1, 't'), (1, 's'), (1, '.'), (1, '.'), (1, '.')]",False,False,<dupe>
