start,end,line,unformatted,segments,ref_start,ref_end,token
24.008,25.976,91,art:oriemovie:らいり,"[(2, 'a'), (2, 'r'), (2, 't'), (2, ':'), (2, 'o'), (2, 'r'), (2, 'i'), (2, 'e'), (2, 'm'), (2, 'o'), (2, 'v'), (2, 'i'), (2, 'e'), (2, ':'), (2, 'ら'), (2, 'い'), (2, 'り')]",True,True,art:oriemovie:らいり
22.006,24.008,92,mix:よしけん,"[(2, 'm'), (2, 'i'), (2, 'x'), (2, ':'), (2, 'よ'), (2, 'し'), (2, 'け'), (2, 'ん')]",True,True,mix:よしけん
18.002,20.004,92,originalartist:whoo,"[(2, 'o'), (2, 'r'), (2, 'i'), (2, 'g'), (2, 'i'), (2, 'n'), (2, 'a'), (2, 'l'), (2, 'a'), (2, 'r'), (2, 't'), (2, 'i'), (2, 's'), (2, 't'), (2, ':'), (2, 'w'), (2, 'h'), (2, 'o'), (2, 'o')]",True,True,originalartist:whoo
18.002,25.976,0,theforgottensong/whoo(coveredby七詩ムメイ),"[(2, 't'), (2, 'h'), (2, 'e'), (2, 'f'), (2, 'o'), (2, 'r'), (2, 'g'), (2, 'o'), (2, 't'), (2, 't'), (2, 'e'), (2, 'n'), (2, 's'), (2, 'o'), (2, 'n'), (2, 'g'), (2, '/'), (2, 'w'), (2, 'h'), (2, 'o'), (2, 'o'), (2, '('), (2, 'c'), (2, 'o'), (2, 'v'), (2, 'e'), (2, 'r'), (2, 'e'), (2, 'd'), (2, 'b'), (2, 'y'), (2, '七'), (2, '詩'), (2, 'ム'), (2, 'メ'), (2, 'イ'), (2, ')')]",True,True,theforgottensong/whoo(coveredby七詩ムメイ)
20.004,22.006,92,vocals:七詩ムメイ,"[(2, 'v'), (2, 'o'), (2, 'c'), (2, 'a'), (2, 'l'), (2, 's'), (2, ':'), (2, '七'), (2, '詩'), (2, 'ム'), (2, 'メ'), (2, 'イ')]",True,True,vocals:七詩ムメイ
207.991,210.027,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (2, 'の'), (2, 'ぐ')]",True,False,ぐ
207.724,207.991,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (2, 'の'), (3, 'ぐ')]",False,False,の
207.457,207.724,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,え
207.191,207.457,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,ら
206.924,207.191,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (3, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,ぶ
206.69,206.924,0,あぶらえのぐ,"[(2, 'あ'), (3, 'ぶ'), (3, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,True,あ
175.993,177.995,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (2, 'の'), (2, 'ぐ')]",True,False,ぐ
175.726,175.993,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (2, 'の'), (3, 'ぐ')]",False,False,の
175.492,175.726,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,え
175.225,175.492,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,ら
174.958,175.225,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (3, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,ぶ
174.725,174.958,0,あぶらえのぐ,"[(2, 'あ'), (3, 'ぶ'), (3, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,True,あ
101.985,103.987,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (2, 'の'), (2, 'ぐ')]",True,False,ぐ
101.718,101.985,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (2, 'の'), (3, 'ぐ')]",False,False,の
101.485,101.718,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (2, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,え
101.218,101.485,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (2, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,ら
100.951,101.218,0,あぶらえのぐ,"[(2, 'あ'), (2, 'ぶ'), (3, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,False,ぶ
100.717,100.951,0,あぶらえのぐ,"[(2, 'あ'), (3, 'ぶ'), (3, 'ら'), (3, 'え'), (3, 'の'), (3, 'ぐ')]",False,True,あ
91.708,92.242,0,うごきだしたくものよう,"[(2, 'う'), (2, 'ご'), (2, 'き'), (2, 'だ'), (2, 'し'), (2, 'た'), (2, 'く'), (2, 'も'), (2, 'の'), (2, 'よ'), (2, 'う')]",True,False,う
